Tag,Name,Keep
GEO.id,Id,
GEO.id2,Id2,
GEO.display-label,Geography,x
HC01_VC03,Estimate; HOUSEHOLDS BY TYPE - Total households,
HC02_VC03,Margin of Error; HOUSEHOLDS BY TYPE - Total households,
HC03_VC03,Percent; HOUSEHOLDS BY TYPE - Total households,x
HC04_VC03,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households,
HC01_VC04,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families),
HC02_VC04,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families),
HC03_VC04,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families),x
HC04_VC04,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families),
HC01_VC05,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,
HC02_VC05,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,
HC03_VC05,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,x
HC04_VC05,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,
HC01_VC06,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,
HC02_VC06,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,
HC03_VC06,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,x
HC04_VC06,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,
HC01_VC07,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,
HC02_VC07,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,
HC03_VC07,Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,x
HC04_VC07,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,
HC01_VC08,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",
HC02_VC08,"Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",
HC03_VC08,"Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",x
HC04_VC08,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family",
HC01_VC09,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC02_VC09,"Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC03_VC09,"Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC04_VC09,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years",
HC01_VC10,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",
HC02_VC10,"Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",
HC03_VC10,"Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",x
HC04_VC10,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",
HC01_VC11,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children of the householder under 18 years",
HC02_VC11,"Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children of the householder under 18 years",
HC03_VC11,"Percent; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children of the householder under 18 years",x
HC04_VC11,"Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children of the householder under 18 years",
HC01_VC12,Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,
HC02_VC12,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,
HC03_VC12,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,x
HC04_VC12,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,
HC01_VC13,Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,
HC02_VC13,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,
HC03_VC13,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,x
HC04_VC13,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,
HC01_VC14,Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over,
HC02_VC14,Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over,
HC03_VC14,Percent; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over,x
HC04_VC14,Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over,
HC01_VC17,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,
HC02_VC17,Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,
HC03_VC17,Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,x
HC04_VC17,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,
HC01_VC18,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,
HC02_VC18,Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,
HC03_VC18,Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,x
HC04_VC18,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,
HC01_VC21,Estimate; HOUSEHOLDS BY TYPE - Average household size,
HC02_VC21,Margin of Error; HOUSEHOLDS BY TYPE - Average household size,
HC03_VC21,Percent; HOUSEHOLDS BY TYPE - Average household size,x
HC04_VC21,Percent Margin of Error; HOUSEHOLDS BY TYPE - Average household size,
HC01_VC22,Estimate; HOUSEHOLDS BY TYPE - Average family size,
HC02_VC22,Margin of Error; HOUSEHOLDS BY TYPE - Average family size,
HC03_VC22,Percent; HOUSEHOLDS BY TYPE - Average family size,x
HC04_VC22,Percent Margin of Error; HOUSEHOLDS BY TYPE - Average family size,
HC01_VC26,Estimate; RELATIONSHIP - Population in households,
HC02_VC26,Margin of Error; RELATIONSHIP - Population in households,
HC03_VC26,Percent; RELATIONSHIP - Population in households,x
HC04_VC26,Percent Margin of Error; RELATIONSHIP - Population in households,
HC01_VC27,Estimate; RELATIONSHIP - Population in households - Householder,
HC02_VC27,Margin of Error; RELATIONSHIP - Population in households - Householder,
HC03_VC27,Percent; RELATIONSHIP - Population in households - Householder,x
HC04_VC27,Percent Margin of Error; RELATIONSHIP - Population in households - Householder,
HC01_VC28,Estimate; RELATIONSHIP - Population in households - Spouse,
HC02_VC28,Margin of Error; RELATIONSHIP - Population in households - Spouse,
HC03_VC28,Percent; RELATIONSHIP - Population in households - Spouse,x
HC04_VC28,Percent Margin of Error; RELATIONSHIP - Population in households - Spouse,
HC01_VC29,Estimate; RELATIONSHIP - Population in households - Child,
HC02_VC29,Margin of Error; RELATIONSHIP - Population in households - Child,
HC03_VC29,Percent; RELATIONSHIP - Population in households - Child,x
HC04_VC29,Percent Margin of Error; RELATIONSHIP - Population in households - Child,
HC01_VC30,Estimate; RELATIONSHIP - Population in households - Other relatives,
HC02_VC30,Margin of Error; RELATIONSHIP - Population in households - Other relatives,
HC03_VC30,Percent; RELATIONSHIP - Population in households - Other relatives,x
HC04_VC30,Percent Margin of Error; RELATIONSHIP - Population in households - Other relatives,
HC01_VC31,Estimate; RELATIONSHIP - Population in households - Nonrelatives,
HC02_VC31,Margin of Error; RELATIONSHIP - Population in households - Nonrelatives,
HC03_VC31,Percent; RELATIONSHIP - Population in households - Nonrelatives,x
HC04_VC31,Percent Margin of Error; RELATIONSHIP - Population in households - Nonrelatives,
HC01_VC32,Estimate; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner,
HC02_VC32,Margin of Error; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner,
HC03_VC32,Percent; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner,x
HC04_VC32,Percent Margin of Error; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner,
HC01_VC36,Estimate; MARITAL STATUS - Males 15 years and over,
HC02_VC36,Margin of Error; MARITAL STATUS - Males 15 years and over,
HC03_VC36,Percent; MARITAL STATUS - Males 15 years and over,x
HC04_VC36,Percent Margin of Error; MARITAL STATUS - Males 15 years and over,
HC01_VC37,Estimate; MARITAL STATUS - Males 15 years and over - Never married,
HC02_VC37,Margin of Error; MARITAL STATUS - Males 15 years and over - Never married,
HC03_VC37,Percent; MARITAL STATUS - Males 15 years and over - Never married,x
HC04_VC37,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Never married,
HC01_VC38,"Estimate; MARITAL STATUS - Males 15 years and over - Now married, except separated",
HC02_VC38,"Margin of Error; MARITAL STATUS - Males 15 years and over - Now married, except separated",
HC03_VC38,"Percent; MARITAL STATUS - Males 15 years and over - Now married, except separated",x
HC04_VC38,"Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Now married, except separated",
HC01_VC39,Estimate; MARITAL STATUS - Males 15 years and over - Separated,
HC02_VC39,Margin of Error; MARITAL STATUS - Males 15 years and over - Separated,
HC03_VC39,Percent; MARITAL STATUS - Males 15 years and over - Separated,x
HC04_VC39,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Separated,
HC01_VC40,Estimate; MARITAL STATUS - Males 15 years and over - Widowed,
HC02_VC40,Margin of Error; MARITAL STATUS - Males 15 years and over - Widowed,
HC03_VC40,Percent; MARITAL STATUS - Males 15 years and over - Widowed,x
HC04_VC40,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Widowed,
HC01_VC41,Estimate; MARITAL STATUS - Males 15 years and over - Divorced,
HC02_VC41,Margin of Error; MARITAL STATUS - Males 15 years and over - Divorced,
HC03_VC41,Percent; MARITAL STATUS - Males 15 years and over - Divorced,x
HC04_VC41,Percent Margin of Error; MARITAL STATUS - Males 15 years and over - Divorced,
HC01_VC43,Estimate; MARITAL STATUS - Females 15 years and over,
HC02_VC43,Margin of Error; MARITAL STATUS - Females 15 years and over,
HC03_VC43,Percent; MARITAL STATUS - Females 15 years and over,x
HC04_VC43,Percent Margin of Error; MARITAL STATUS - Females 15 years and over,
HC01_VC44,Estimate; MARITAL STATUS - Females 15 years and over - Never married,
HC02_VC44,Margin of Error; MARITAL STATUS - Females 15 years and over - Never married,
HC03_VC44,Percent; MARITAL STATUS - Females 15 years and over - Never married,x
HC04_VC44,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Never married,
HC01_VC45,"Estimate; MARITAL STATUS - Females 15 years and over - Now married, except separated",
HC02_VC45,"Margin of Error; MARITAL STATUS - Females 15 years and over - Now married, except separated",
HC03_VC45,"Percent; MARITAL STATUS - Females 15 years and over - Now married, except separated",x
HC04_VC45,"Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Now married, except separated",
HC01_VC46,Estimate; MARITAL STATUS - Females 15 years and over - Separated,
HC02_VC46,Margin of Error; MARITAL STATUS - Females 15 years and over - Separated,
HC03_VC46,Percent; MARITAL STATUS - Females 15 years and over - Separated,x
HC04_VC46,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Separated,
HC01_VC47,Estimate; MARITAL STATUS - Females 15 years and over - Widowed,
HC02_VC47,Margin of Error; MARITAL STATUS - Females 15 years and over - Widowed,
HC03_VC47,Percent; MARITAL STATUS - Females 15 years and over - Widowed,x
HC04_VC47,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Widowed,
HC01_VC48,Estimate; MARITAL STATUS - Females 15 years and over - Divorced,
HC02_VC48,Margin of Error; MARITAL STATUS - Females 15 years and over - Divorced,
HC03_VC48,Percent; MARITAL STATUS - Females 15 years and over - Divorced,x
HC04_VC48,Percent Margin of Error; MARITAL STATUS - Females 15 years and over - Divorced,
HC01_VC52,Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months,
HC02_VC52,Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months,
HC03_VC52,Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months,
HC04_VC52,Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months,
HC01_VC53,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)",
HC02_VC53,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)",
HC03_VC53,"Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)",
HC04_VC53,"Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)",
HC01_VC54,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women",
HC02_VC54,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women",
HC03_VC54,"Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women",
HC04_VC54,"Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women",
HC01_VC55,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old",
HC02_VC55,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old",
HC03_VC55,"Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old",
HC04_VC55,"Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old",
HC01_VC56,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old",
HC02_VC56,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old",
HC03_VC56,"Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old",
HC04_VC56,"Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old",
HC01_VC57,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old",
HC02_VC57,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old",
HC03_VC57,"Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old",
HC04_VC57,"Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old",
HC01_VC58,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old",
HC02_VC58,"Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old",
HC03_VC58,"Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old",
HC04_VC58,"Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old",
HC01_VC62,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,
HC02_VC62,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,
HC03_VC62,Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,
HC04_VC62,Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,
HC01_VC63,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Grandparents responsible for grandchildren,
HC02_VC63,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Grandparents responsible for grandchildren,
HC03_VC63,Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Grandparents responsible for grandchildren,
HC04_VC63,Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Grandparents responsible for grandchildren,
HC01_VC65,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year,
HC02_VC65,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year,
HC03_VC65,Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year,
HC04_VC65,Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year,
HC01_VC66,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years,
HC02_VC66,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years,
HC03_VC66,Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years,
HC04_VC66,Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years,
HC01_VC67,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years,
HC02_VC67,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years,
HC03_VC67,Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years,
HC04_VC67,Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years,
HC01_VC68,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years,
HC02_VC68,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years,
HC03_VC68,Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years,
HC04_VC68,Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years,
HC01_VC70,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,
HC02_VC70,Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,
HC03_VC70,Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,
HC04_VC70,Percent Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,
HC01_VC71,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female,
HC02_VC71,Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female,
HC03_VC71,Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female,
HC04_VC71,Percent Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female,
HC01_VC72,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married,
HC02_VC72,Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married,
HC03_VC72,Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married,
HC04_VC72,Percent Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married,
HC01_VC76,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,
HC02_VC76,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,
HC03_VC76,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,
HC04_VC76,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,
HC01_VC77,"Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool",
HC02_VC77,"Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool",
HC03_VC77,"Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool",
HC04_VC77,"Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool",
HC01_VC78,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten,
HC02_VC78,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten,
HC03_VC78,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten,
HC04_VC78,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten,
HC01_VC79,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8),
HC02_VC79,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8),
HC03_VC79,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8),
HC04_VC79,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8),
HC01_VC80,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12),
HC02_VC80,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12),
HC03_VC80,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12),
HC04_VC80,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12),
HC01_VC81,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school,
HC02_VC81,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school,
HC03_VC81,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school,
HC04_VC81,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school,
HC01_VC85,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,
HC02_VC85,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,
HC03_VC85,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over,x
HC04_VC85,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over,
HC01_VC86,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade,
HC02_VC86,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade,
HC03_VC86,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade,x
HC04_VC86,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade,
HC01_VC87,"Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma",
HC02_VC87,"Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma",
HC03_VC87,"Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma",x
HC04_VC87,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma",
HC01_VC88,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),
